key,press_time,release_time,hold_time
u,1556154968.7520778,1556154968.8138797,0.061801910400390625
s,1556154968.8301165,1556154968.8938324,0.06371593475341797
e,1556154969.0463858,1556154969.1735845,0.1271986961364746
r,1556154969.150184,1556154969.2698085,0.11962461471557617
Key.space,1556154969.7663429,1556154969.8458986,0.07955574989318848
t,1556154969.886335,1556154969.9736748,0.08733987808227539
e,1556154969.9422023,1556154970.0377839,0.0955815315246582
s,1556154970.1740127,1556154970.237928,0.06391525268554688
t,1556154970.2394507,1556154970.3098054,0.07035470008850098
Key.space,1556154970.3662584,1556154970.461726,0.09546756744384766
t,1556154970.502181,1556154970.5818496,0.07966852188110352
y,1556154970.7022192,1556154970.773723,0.0715036392211914
p,1556154970.806661,1556154970.861891,0.055230140686035156
i,1556154971.0148168,1556154971.0859942,0.07117748260498047
n,1556154971.1740541,1556154971.2618725,0.08781838417053223
g,1556154971.2381482,1556154971.3178256,0.07967734336853027
Key.space,1556154971.3821,1556154971.4697704,0.08767032623291016
t,1556154971.5501823,1556154971.6617994,0.1116170883178711
e,1556154971.6381304,1556154971.726022,0.0878915786743164
s,1556154971.8541677,1556154971.9419427,0.08777499198913574
t,1556154971.9436238,1556154972.0138276,0.07020378112792969
Key.space,1556154972.110052,1556154972.1977358,0.08768367767333984
1,1556154972.4941146,1556154972.6537876,0.15967297554016113
2,1556154972.6871424,1556154972.781787,0.09464454650878906
3,1556154972.9021535,1556154972.9498415,0.04768800735473633
Key.space,1556154973.0620737,1556154973.149729,0.08765530586242676
t,1556154973.4380941,1556154973.5577295,0.11963534355163574
e,1556154973.534174,1556154973.6297812,0.09560728073120117
s,1556154973.7663467,1556154973.8699367,0.10359001159667969
t,1556154973.8715491,1556154973.933782,0.06223297119140625
Key.space,1556154974.022181,1556154974.1337638,0.11158275604248047
1,1556154974.2541423,1556154974.3736362,0.11949396133422852
2,1556154974.358044,1556154974.4377847,0.07974076271057129
3,1556154974.5740342,1556154974.6537623,0.0797281265258789
Key.space,1556154974.8861947,1556154974.9735997,0.08740496635437012
t,1556154975.078125,1556154975.1986516,0.12052655220031738
e,1556154975.166276,1556154975.2617984,0.09552240371704102
s,1556154975.4219813,1556154975.5260868,0.10410547256469727
t,1556154975.5278208,1556154975.581872,0.05405116081237793
Key.space,1556154975.886183,1556154975.9817886,0.09560561180114746
1,1556154976.0381103,1556154976.1743433,0.13623309135437012
2,1556154976.1421676,1556154976.2459831,0.10381555557250977
3,1556154977.2220957,1556154977.2938297,0.07173395156860352
Key.space,1556154978.2700393,1556154978.3417711,0.0717318058013916
t,1556154978.5020807,1556154978.5736365,0.07155585289001465
h,1556154978.63007,1556154978.7017598,0.07168984413146973
a,1556154978.7581043,1556154978.8297398,0.07163548469543457
n,1556154978.8629684,1556154978.9417734,0.07880496978759766
k,1556154979.0380797,1556154979.1257725,0.0876927375793457
s,1556154979.1181304,1556154979.1895852,0.07145476341247559
.,1556154979.4060335,1556154979.4858983,0.0798647403717041
