key,press_time,release_time,hold_time
Key.shift,1556410030.237175,1556410030.357526,0.12035107612609863
Key.space,1556410031.507943,1556410031.632308,0.12436509132385254
Key.enter,1556410031.872019,1556410031.940331,0.06831192970275879
Key.ctrl,1556410032.246204,1556410032.3424551,0.09625124931335449
a,1556410032.832202,1556410032.915343,0.08314108848571777
Key.shift,1556410033.26261,1556410033.5595,0.2968900203704834
Key.shift,1556410033.612948,1556410033.781099,0.1681511402130127
A,1556410033.7090611,1556410033.789449,0.08038783073425293
Key.shift,1556410034.4970481,1556410034.60948,0.11243176460266113
Key.shift,1556410035.1601841,1556410035.2602,0.10001587867736816
Key.shift,1556410035.768055,1556410035.875817,0.10776209831237793
Key.shift,1556410037.1000488,1556410037.1843321,0.08428335189819336
Key.ctrl,1556410037.627035,1556410037.722989,0.09595417976379395
Key.space,1556410039.401851,1556410039.506227,0.10437607765197754
