key,press_time,release_time,hold_time
Key.shift,1556412595.297214,1556412595.749442,0.4522280693054199
B,1556412595.6652422,1556412595.741087,0.07584476470947266
a,1556412595.941303,1556412596.093487,0.15218400955200195
s,1556412596.226229,1556412596.4022772,0.17604827880859375
e,1556412596.31775,1556412596.478679,0.16092896461486816
b,1556412596.588584,1556412596.652423,0.06383895874023438
a,1556412596.733312,1556412596.865731,0.13241910934448242
l,1556412596.9100301,1556412596.9864619,0.0764317512512207
l,1556412597.090931,1556412597.143497,0.0525660514831543
Key.space,1556412597.309487,1556412597.4170141,0.10752701759338379
h,1556412597.775468,1556412597.851679,0.07621097564697266
a,1556412597.906998,1556412598.019132,0.11213397979736328
s,1556412598.1311371,1556412598.239389,0.10825181007385254
Key.space,1556412598.2743838,1556412598.366559,0.09217524528503418
b,1556412598.5031948,1556412598.615456,0.11226129531860352
e,1556412598.900156,1556412598.9844081,0.08425211906433105
e,1556412599.0741708,1556412599.166052,0.09188127517700195
n,1556412599.2148778,1556412599.303643,0.08876514434814453
Key.space,1556412599.862133,1556412599.962566,0.1004328727722168
t,1556412600.091014,1556412600.211211,0.12019705772399902
h,1556412600.175127,1556412600.2473211,0.07219409942626953
e,1556412600.286069,1556412600.409489,0.12342000007629395
Key.space,1556412600.39007,1556412600.51414,0.1240699291229248
n,1556412600.634292,1556412600.7052789,0.07098698616027832
a,1556412600.750326,1556412600.8582761,0.10795021057128906
t,1556412600.927161,1556412601.042933,0.11577200889587402
i,1556412601.027046,1556412601.159255,0.13220906257629395
o,1556412601.099128,1556412601.1989481,0.09982013702392578
n,1556412601.312991,1556412601.413631,0.10064005851745605
a,1556412601.441107,1556412601.581397,0.1402900218963623
l,1556412602.311432,1556412602.383383,0.07195115089416504
Key.space,1556412602.982945,1556412603.115423,0.1324779987335205
p,1556412604.1671438,1556412604.247475,0.08033108711242676
a,1556412604.307085,1556412604.439768,0.13268303871154785
s,1556412604.51582,1556412604.596409,0.08058905601501465
t,1556412604.708965,1556412604.841631,0.13266587257385254
i,1556412604.922084,1556412605.09426,0.17217588424682617
m,1556412605.0221062,1556412605.15831,0.13620376586914062
e,1556412605.1933491,1556412605.3176892,0.12434005737304688
Key.space,1556412605.3848388,1556412605.49727,0.11243128776550293
i,1556412605.610053,1556412605.757963,0.14790987968444824
n,1556412605.701926,1556412605.797656,0.09573006629943848
Key.space,1556412605.801588,1556412605.910294,0.10870599746704102
t,1556412605.963108,1556412606.1072829,0.14417481422424316
h,1556412606.070966,1556412606.1549592,0.08399319648742676
e,1556412606.123082,1556412606.2428632,0.1197812557220459
Key.space,1556412606.211044,1556412606.363358,0.1523139476776123
Key.shift,1556412606.4519198,1556412606.676981,0.22506117820739746
U,1556412606.6001348,1556412606.668053,0.06791806221008301
n,1556412606.782987,1556412606.93127,0.14828276634216309
i,1556412606.899028,1556412607.031146,0.13211798667907715
t,1556412607.03129,1556412607.163158,0.1318678855895996
e,1556412607.126992,1556412607.243094,0.11610198020935059
d,1556412607.336063,1556412607.4523652,0.1163022518157959
Key.space,1556412607.486021,1556412607.626339,0.1403179168701172
Key.shift,1556412607.644016,1556412607.924022,0.28000593185424805
S,1556412607.828508,1556412607.96385,0.13534212112426758
t,1556412608.1030662,1556412608.247711,0.14464473724365234
a,1556412608.2673569,1556412608.394658,0.12730121612548828
t,1556412608.402672,1556412608.5911071,0.18843507766723633
e,1556412608.637334,1556412608.751353,0.11401891708374023
s,1556412608.8900669,1556412609.002451,0.11238408088684082
Key.space,1556412609.565987,1556412609.674402,0.10841488838195801
s,1556412609.722663,1556412609.8949142,0.17225122451782227
i,1556412609.867098,1556412609.951353,0.08425498008728027
n,1556412610.044037,1556412610.1361861,0.09214901924133301
c,1556412610.1871412,1556412610.360899,0.17375779151916504
e,1556412610.331119,1556412610.471392,0.140272855758667
Key.space,1556412610.964973,1556412611.061224,0.09625101089477539
t,1556412611.126048,1556412611.261888,0.13583993911743164
h,1556412611.194035,1556412611.258044,0.06400895118713379
e,1556412611.273694,1556412611.3814359,0.1077418327331543
Key.space,1556412611.3699222,1556412611.482385,0.11246275901794434
m,1556412611.543245,1556412611.7192152,0.17597007751464844
i,1556412611.631017,1556412611.755272,0.12425494194030762
d,1556412611.8009238,1556412611.86935,0.06842613220214844
d,1556412611.946848,1556412612.051483,0.10463500022888184
l,1556412612.071114,1556412612.167378,0.09626388549804688
e,1556412612.207555,1556412612.316354,0.10879898071289062
Key.space,1556412612.415818,1556412612.520406,0.10458803176879883
f,1556412612.782102,1556412612.89837,0.11626791954040527
Key.backspace,1556412613.158008,1556412613.246222,0.08821392059326172
o,1556412614.084533,1556412614.156439,0.07190608978271484
f,1556412614.1790888,1556412614.283547,0.10445809364318848
Key.space,1556412614.3021739,1556412614.3704488,0.06827497482299805
t,1556412614.446029,1556412614.586102,0.14007306098937988
h,1556412614.538079,1556412614.618562,0.08048295974731445
e,1556412614.653302,1556412614.764086,0.11078405380249023
Key.space,1556412614.76793,1556412614.904344,0.1364140510559082
1,1556412615.35823,1556412615.486551,0.12832093238830566
0,1556412615.6672032,1556412615.739506,0.07230281829833984
Key.backspace,1556412616.15433,1556412616.218436,0.06410598754882812
8,1556412616.5171971,1556412616.585341,0.06814384460449219
0,1556412616.6911821,1556412616.763524,0.0723419189453125
0,1556412616.834122,1556412616.9185028,0.0843808650970459
s,1556412617.136244,1556412617.281256,0.14501190185546875
.,1556412617.4243221,1556412617.4965298,0.07220768928527832
Key.space,1556412618.4221702,1556412618.5344489,0.11227869987487793
Key.shift_r,1556412619.054101,1556412619.26632,0.2122189998626709
E,1556412619.162335,1556412619.2868009,0.1244659423828125
