key,press_time,release_time,hold_time
Key.shift,1556488307.337575,1556488307.498153,0.16057801246643066
N,1556488307.447423,1556488307.502309,0.0548861026763916
a,1556488307.664951,1556488307.793359,0.12840795516967773
r,1556488307.875896,1556488307.9243572,0.048461198806762695
r,1556488308.035072,1556488308.115063,0.07999086380004883
a,1556488308.1029499,1556488308.227293,0.1243431568145752
t,1556488308.286004,1556488308.350402,0.06439805030822754
i,1556488308.3918972,1556488308.4603,0.06840276718139648
o,1556488308.601233,1556488308.6692538,0.06802082061767578
n,1556488308.768088,1556488308.848437,0.08034896850585938
Key.space,1556488308.8841898,1556488308.964285,0.08009505271911621
m,1556488309.021179,1556488309.1113222,0.09014320373535156
e,1556488309.1461,1556488309.266363,0.12026286125183105
n,1556488309.313909,1556488309.37836,0.06445097923278809
s,1556488309.627053,1556488309.695376,0.06832289695739746
Key.space,1556488309.7800431,1556488309.844287,0.06424379348754883
y,1556488310.084063,1556488310.128253,0.0441899299621582
o,1556488310.124168,1556488310.224401,0.10023307800292969
u,1556488310.2940748,1556488310.36637,0.0722951889038086
',1556488310.536015,1556488310.624058,0.0880429744720459
r,1556488310.6361852,1556488310.743932,0.10774683952331543
e,1556488310.708042,1556488310.79165,0.08360815048217773
Key.space,1556488310.7875571,1556488310.87224,0.08468294143676758
t,1556488310.9569569,1556488311.061044,0.10408711433410645
e,1556488311.012984,1556488311.113369,0.10038495063781738
l,1556488311.144021,1556488311.200269,0.05624794960021973
l,1556488311.315021,1556488311.359352,0.04433107376098633
i,1556488311.497118,1556488311.5612512,0.0641331672668457
n,1556488311.656037,1556488311.707999,0.05196189880371094
g,1556488311.711798,1556488311.7843032,0.07250523567199707
Key.space,1556488311.82543,1556488311.902247,0.07681703567504883
a,1556488311.924065,1556488312.012001,0.0879359245300293
Key.space,1556488312.019934,1556488312.10025,0.08031606674194336
s,1556488312.13286,1556488312.2091892,0.07632923126220703
t,1556488312.2978811,1556488312.382324,0.0844428539276123
o,1556488312.4079301,1556488312.476328,0.06839776039123535
