key,press_time,release_time,hold_time
Key.shift,1556412554.876628,1556412555.1079109,0.23128294944763184
S,1556412555.036583,1556412555.140416,0.10383296012878418
t,1556412555.591611,1556412555.65589,0.06427907943725586
a,1556412555.735244,1556412555.832063,0.09681892395019531
t,1556412555.872077,1556412555.98455,0.1124730110168457
e,1556412555.952438,1556412556.0371299,0.08469176292419434
s,1556412556.1817338,1556412556.269527,0.08779311180114746
Key.space,1556412556.281597,1556412556.3537998,0.07220292091369629
s,1556412556.408611,1556412556.497034,0.08842301368713379
i,1556412556.496819,1556412556.540267,0.04344797134399414
n,1556412556.6756039,1556412556.711793,0.03618907928466797
c,1556412556.72347,1556412556.835711,0.11224102973937988
e,1556412556.835878,1556412556.939683,0.1038050651550293
Key.space,1556412556.939828,1556412557.019825,0.07999706268310547
t,1556412557.089691,1556412557.1658309,0.07613992691040039
h,1556412557.196377,1556412557.248946,0.052568912506103516
e,1556412557.269643,1556412557.361852,0.0922088623046875
Key.space,1556412557.375471,1556412557.427861,0.05238986015319824
m,1556412557.533493,1556412557.601948,0.06845498085021973
i,1556412557.705557,1556412557.765876,0.060318946838378906
d,1556412557.813492,1556412557.877887,0.06439495086669922
d,1556412557.9924212,1556412558.0889401,0.09651899337768555
l,1556412558.1135502,1556412558.181751,0.06820082664489746
e,1556412558.2056088,1556412558.3184059,0.11279702186584473
Key.space,1556412558.2935328,1556412558.3537211,0.06018829345703125
o,1556412558.425566,1556412558.501838,0.07627201080322266
f,1556412558.525585,1556412558.625623,0.10003805160522461
Key.space,1556412558.561553,1556412558.637781,0.07622790336608887
t,1556412558.798306,1556412558.8709939,0.07268786430358887
h,1556412558.8876102,1556412558.9434838,0.05587363243103027
e,1556412558.982334,1556412559.070407,0.0880730152130127
Key.space,1556412559.074469,1556412559.142835,0.06836581230163574
1,1556412559.338679,1556412559.442914,0.10423493385314941
8,1556412559.6276999,1556412559.687959,0.060259103775024414
0,1556412559.888522,1556412559.952878,0.06435608863830566
0,1556412560.075627,1556412560.131863,0.05623602867126465
s,1556412560.3882,1556412560.48083,0.09262990951538086
.,1556412560.5055969,1556412560.613315,0.10771822929382324
Key.space,1556412560.589189,1556412560.701754,0.1125650405883789
Key.shift,1556412560.773547,1556412560.937432,0.16388511657714844
E,1556412560.885629,1556412560.977325,0.09169602394104004
a,1556412561.0954869,1556412561.247423,0.15193605422973633
c,1556412561.22744,1556412561.331852,0.10441184043884277
h,1556412561.465516,1556412561.5418692,0.07635307312011719
Key.space,1556412561.594508,1556412561.690743,0.09623503684997559
p,1556412561.8354602,1556412561.9036422,0.06818199157714844
e,1556412561.934762,1556412562.038103,0.10334110260009766
r,1556412562.034545,1556412562.1104991,0.07595419883728027
i,1556412562.118576,1556412562.1948411,0.07626509666442871
o,1556412562.3264441,1556412562.39483,0.06838583946228027
d,1556412562.421512,1556412562.509712,0.08820009231567383
Key.space,1556412562.493427,1556412562.56176,0.06833291053771973
