key,press_time,release_time,hold_time
Key.shift,1556155042.7416952,1556155043.0368533,0.29515814781188965
T,1556155042.9328263,1556155043.0205507,0.08772444725036621
h,1556155043.140803,1556155043.2125595,0.07175636291503906
i,1556155043.2847211,1556155043.3814056,0.09668445587158203
s,1556155043.3831406,1556155043.4372602,0.05411958694458008
Key.space,1556155043.4615405,1556155043.5652583,0.10371780395507812
i,1556155043.677689,1556155043.7572584,0.07956933975219727
s,1556155043.7815404,1556155043.8372855,0.05574512481689453
Key.space,1556155043.853433,1556155043.9412358,0.08780288696289062
a,1556155044.0375931,1556155044.1093705,0.07177734375
n,1556155044.1110637,1556155044.1653538,0.054290056228637695
o,1556155044.2696211,1556155044.341359,0.07173776626586914
h,1556155044.445812,1556155044.5253565,0.0795445442199707
e,1556155045.0457885,1556155045.1731884,0.12739992141723633
r,1556155045.1496716,1556155045.2453232,0.09565162658691406
Key.space,1556155045.5096524,1556155045.5812526,0.07160019874572754
t,1556155045.6297483,1556155045.7335122,0.10376381874084473
e,1556155045.7351549,1556155045.8133476,0.07819271087646484
x,1556155045.981644,1556155046.117656,0.13601207733154297
t,1556155046.1193051,1556155046.2133086,0.09400343894958496
Key.space,1556155046.25349,1556155046.349225,0.09573507308959961
f,1556155046.4616401,1556155046.5252898,0.06364965438842773
o,1556155046.605552,1556155046.6774497,0.07189774513244629
r,1556155046.6790946,1556155046.765437,0.08634233474731445
Key.space,1556155046.767173,1556155046.8772068,0.11003375053405762
m,1556155046.9978414,1556155047.0694094,0.07156801223754883
o,1556155047.2537258,1556155047.3174245,0.06369876861572266
h,1556155047.3978517,1556155047.477409,0.07955718040466309
a,1556155047.501601,1556155047.5812907,0.07968974113464355
m,1556155047.653612,1556155047.7332373,0.07962536811828613
e,1556155047.7668884,1556155047.8452506,0.07836222648620605
d,1556155049.0376954,1556155049.117518,0.07982254028320312
Key.space,1556155052.6215045,1556155052.717454,0.09594941139221191
u,1556155053.1327305,1556155053.2446043,0.11187386512756348
s,1556155053.2457168,1556155053.3005834,0.05486655235290527
e,1556155053.4367423,1556155053.541368,0.10462570190429688
r,1556155053.5007463,1556155053.6453354,0.14458918571472168
n,1556155053.7496533,1556155053.8293612,0.07970786094665527
a,1556155053.9258008,1556155054.0214403,0.09563946723937988
m,1556155054.0229938,1556155054.1013272,0.07833337783813477
e,1556155054.125762,1556155054.19748,0.07171797752380371
Key.space,1556155054.2214231,1556155054.3012447,0.07982158660888672
i,1556155054.3816652,1556155054.4533513,0.0716860294342041
s,1556155054.4696097,1556155054.525617,0.05600714683532715
Key.space,1556155054.5272222,1556155054.605126,0.07790374755859375
m,1556155054.71773,1556155054.7974596,0.07972955703735352
o,1556155054.9336817,1556155054.9973872,0.0637054443359375
h,1556155055.069836,1556155055.1334236,0.06358766555786133
d,1556155055.221531,1556155055.317436,0.09590506553649902
Key.space,1556155055.813531,1556155055.8932621,0.07973122596740723
t,1556155055.9816678,1556155056.077424,0.09575629234313965
e,1556155056.1576576,1556155056.2052326,0.04757499694824219
s,1556155056.525777,1556155056.597361,0.07158398628234863
t,1556155056.6136267,1556155056.709299,0.0956723690032959
Key.space,1556155056.7657144,1556155056.8452914,0.07957696914672852
1,1556155056.925768,1556155057.0455766,0.11980867385864258
2,1556155057.047265,1556155057.1253424,0.07807731628417969
3,1556155057.2616231,1556155057.325325,0.06370186805725098
