key,press_time,release_time,hold_time
Key.shift,1556411565.1699111,1556411565.338003,0.1680917739868164
B,1556411565.270228,1556411565.333629,0.0634009838104248
a,1556411565.423717,1556411565.612066,0.18834900856018066
s,1556411566.038692,1556411566.170177,0.1314849853515625
e,1556411566.142658,1556411566.242996,0.10033798217773438
b,1556411566.301675,1556411566.3898518,0.08817672729492188
a,1556411566.690667,1556411566.770966,0.08029913902282715
l,1556411566.804699,1556411566.868777,0.06407809257507324
l,1556411566.974358,1556411567.066056,0.09169793128967285
Key.space,1556411567.062619,1556411567.150879,0.08825993537902832
h,1556411567.2537332,1556411567.361727,0.10799384117126465
a,1556411567.3457909,1556411567.4533,0.10750913619995117
s,1556411567.393186,1556411567.51314,0.11995387077331543
Key.space,1556411567.49985,1556411567.585666,0.0858159065246582
b,1556411567.7106712,1556411567.798992,0.08832073211669922
e,1556411567.825653,1556411567.88482,0.059166908264160156
e,1556411567.9877682,1556411568.068028,0.08025979995727539
n,1556411568.094767,1556411568.19088,0.09611296653747559
Key.space,1556411568.29356,1556411568.354862,0.06130194664001465
t,1556411568.728605,1556411568.8168252,0.08822011947631836
h,1556411568.820169,1556411568.909097,0.0889279842376709
e,1556411568.927464,1556411569.023113,0.09564900398254395
Key.space,1556411569.003621,1556411569.0719512,0.06833004951477051
n,1556411569.151712,1556411569.235262,0.08354997634887695
o,1556411569.336069,1556411569.4001532,0.06408405303955078
a,1556411569.4041111,1556411569.5125408,0.1084296703338623
t,1556411569.504482,1556411569.596404,0.09192204475402832
i,1556411569.576121,1556411569.636891,0.06076979637145996
o,1556411569.754611,1556411569.8188841,0.06427311897277832
n,1556411569.920581,1556411569.988693,0.06811189651489258
a,1556411570.002663,1556411570.086932,0.08426904678344727
l,1556411570.11663,1556411570.212619,0.09598898887634277
Key.space,1556411570.22057,1556411570.300788,0.08021783828735352
p,1556411570.392939,1556411570.475174,0.08223485946655273
a,1556411570.467633,1556411570.599217,0.13158392906188965
s,1556411570.5554628,1556411570.671904,0.11644124984741211
t,1556411570.759988,1556411570.835217,0.07522892951965332
i,1556411570.8154922,1556411570.883871,0.06837892532348633
m,1556411571.020494,1556411571.1204338,0.09993982315063477
e,1556411571.108601,1556411571.200614,0.09201288223266602
Key.space,1556411571.208627,1556411571.304868,0.09624099731445312
i,1556411571.3047109,1556411571.402236,0.09752511978149414
n,1556411571.453559,1556411571.558347,0.10478806495666504
Key.space,1556411571.554568,1556411571.633433,0.07886505126953125
t,1556411571.63328,1556411571.71776,0.08448004722595215
h,1556411571.7655559,1556411571.846608,0.08105206489562988
e,1556411571.827382,1556411571.917612,0.09022998809814453
Key.space,1556411571.930342,1556411572.0059478,0.07560586929321289
Key.shift,1556411572.0566442,1556411572.1968691,0.14022493362426758
U,1556411572.1117282,1556411572.168374,0.056645870208740234
n,1556411572.2847009,1556411572.364716,0.08001518249511719
i,1556411572.445628,1556411572.52157,0.0759420394897461
t,1556411572.526402,1556411572.628316,0.1019139289855957
e,1556411572.569462,1556411572.678578,0.1091158390045166
d,1556411572.7943602,1556411572.906805,0.11244487762451172
Key.space,1556411572.940521,1556411573.0405078,0.09998679161071777
Key.shift,1556411573.028281,1556411573.21173,0.18344902992248535
S,1556411573.1525261,1556411573.2688699,0.11634373664855957
t,1556411573.366573,1556411573.42935,0.06277680397033691
a,1556411573.435195,1556411573.524041,0.08884596824645996
t,1556411573.5883782,1556411573.681376,0.09299778938293457
e,1556411573.656727,1556411573.74087,0.08414292335510254
s,1556411573.860157,1556411573.948102,0.08794498443603516
Key.space,1556411573.915097,1556411574.0157561,0.10065913200378418
s,1556411574.118453,1556411574.202338,0.08388495445251465
i,1556411574.17053,1556411574.238846,0.06831598281860352
n,1556411574.3466098,1556411574.4347389,0.08812904357910156
c,1556411574.5278468,1556411574.711613,0.18376612663269043
e,1556411574.5951989,1556411574.739899,0.1447000503540039
Key.space,1556411574.7573829,1556411574.8495638,0.09218096733093262
t,1556411574.928308,1556411575.014743,0.08643507957458496
h,1556411574.9967659,1556411575.080939,0.08417320251464844
e,1556411575.09532,1556411575.197676,0.10235595703125
Key.space,1556411575.17153,1556411575.251822,0.0802919864654541
m,1556411575.3281999,1556411575.394924,0.06672406196594238
i,1556411575.4875689,1556411575.5638669,0.07629799842834473
d,1556411575.5915241,1556411575.647965,0.05644083023071289
d,1556411575.745632,1556411575.82951,0.0838780403137207
l,1556411575.854573,1556411575.929433,0.0748600959777832
e,1556411575.947562,1556411576.039576,0.09201407432556152
Key.space,1556411576.043318,1556411576.111661,0.06834292411804199
o,1556411576.168373,1556411576.244551,0.07617783546447754
f,1556411576.252516,1556411576.328542,0.07602596282958984
Key.space,1556411576.3245718,1556411576.440672,0.11610007286071777
t,1556411576.722481,1556411576.794317,0.07183599472045898
h,1556411576.809016,1556411576.897506,0.08849000930786133
e,1556411576.9115672,1556411576.991462,0.0798947811126709
Key.space,1556411576.998915,1556411577.07968,0.0807650089263916
1,1556411577.210517,1556411577.31019,0.09967303276062012
8,1556411577.4665542,1556411577.5426712,0.07611703872680664
0,1556411577.751446,1556411577.791252,0.03980588912963867
0,1556411577.904392,1556411577.965301,0.06090903282165527
s,1556411578.0352561,1556411578.1156769,0.08042073249816895
.,1556411578.21045,1556411578.333859,0.12340903282165527
Key.space,1556411578.311532,1556411578.414712,0.103179931640625
Key.shift,1556411578.62562,1556411578.9934258,0.36780595779418945
E,1556411578.941534,1556411579.050247,0.10871291160583496
a,1556411579.1603231,1556411579.2812831,0.12095999717712402
c,1556411579.252158,1556411579.3679821,0.11582422256469727
h,1556411579.360466,1556411579.436887,0.07642102241516113
Key.space,1556411579.468386,1556411579.560637,0.09225106239318848
p,1556411579.614246,1556411579.688084,0.0738379955291748
e,1556411579.6879392,1556411579.801458,0.11351871490478516
r,1556411579.77188,1556411579.867816,0.09593605995178223
i,1556411579.855916,1556411579.944134,0.08821797370910645
o,1556411580.0673869,1556411580.1431859,0.07579898834228516
d,1556411580.1763961,1556411580.264747,0.08835077285766602
Key.space,1556411580.2852428,1556411580.3976939,0.11245107650756836
h,1556411580.742323,1556411580.8419929,0.0996699333190918
a,1556411580.838454,1556411580.970487,0.132033109664917
s,1556411580.9022348,1556411581.025915,0.12368011474609375
Key.space,1556411581.01382,1556411581.1026602,0.08884024620056152
h,1556411581.2152069,1556411581.295277,0.08007025718688965
a,1556411581.299306,1556411581.443431,0.14412498474121094
d,1556411581.41946,1556411581.527054,0.10759401321411133
Key.space,1556411581.519406,1556411581.5835369,0.06413078308105469
a,1556411581.628236,1556411581.7318232,0.10358715057373047
Key.space,1556411581.7243059,1556411581.808373,0.08406710624694824
u,1556411581.892543,1556411581.960793,0.06824994087219238
n,1556411582.074368,1556411582.15079,0.07642197608947754
q,1556411582.2008781,1556411582.285504,0.0846259593963623
Key.backspace,1556411582.884137,1556411582.960617,0.07648015022277832
i,1556411583.093379,1556411583.18284,0.08946108818054199
q,1556411583.207424,1556411583.27566,0.06823611259460449
u,1556411583.320096,1556411583.3966641,0.0765681266784668
e,1556411583.463316,1556411583.539426,0.0761101245880127
Key.space,1556411583.543343,1556411583.631142,0.0877988338470459
f,1556411583.8564491,1556411583.92453,0.06808090209960938
l,1556411583.98451,1556411584.035101,0.05059099197387695
a,1556411584.074132,1556411584.174725,0.10059309005737305
v,1556411584.255504,1556411584.3357592,0.08025527000427246
o,1556411584.409417,1556411584.501748,0.0923311710357666
r,1556411584.538476,1556411584.6227908,0.08431482315063477
Key.space,1556411584.67739,1556411584.7614331,0.08404302597045898
Key.backspace,1556411585.170377,1556411585.2503319,0.07995486259460449
",",1556411585.457293,1556411585.5732448,0.1159517765045166
Key.space,1556411585.550605,1556411585.649461,0.09885597229003906
a,1556411586.061792,1556411586.141956,0.08016419410705566
n,1556411586.1351612,1556411586.2382998,0.10313868522644043
d,1556411586.242124,1556411586.345954,0.10382986068725586
Key.space,1556411586.342347,1556411586.4173498,0.07500290870666504
i,1556411586.495231,1556411586.559169,0.06393814086914062
t,1556411586.571381,1556411586.662933,0.0915520191192627
Key.space,1556411586.6594381,1556411586.72761,0.06817197799682617
i,1556411586.78917,1556411586.873494,0.08432388305664062
s,1556411586.889183,1556411586.972683,0.08349990844726562
Key.space,1556411586.929259,1556411587.025402,0.09614300727844238
s,1556411587.334369,1556411587.425586,0.091217041015625
o,1556411587.4143958,1556411587.478674,0.06427812576293945
m,1556411587.582861,1556411587.654659,0.07179808616638184
e,1556411587.630378,1556411587.742686,0.11230802536010742
t,1556411587.765035,1556411587.85822,0.0931851863861084
i,1556411587.813201,1556411587.889654,0.07645297050476074
m,1556411588.017022,1556411588.1207628,0.10374093055725098
e,1556411588.116986,1556411588.181535,0.06454896926879883
Key.space,1556411588.2013419,1556411588.261395,0.060053110122680664
u,1556411588.341321,1556411588.43767,0.09634900093078613
s,1556411588.70435,1556411588.856225,0.15187501907348633
e,1556411588.83219,1556411588.936639,0.10444903373718262
f,1556411589.066153,1556411589.142289,0.07613587379455566
u,1556411589.150306,1556411589.20642,0.05611395835876465
l,1556411589.598871,1556411589.718839,0.11996793746948242
Key.space,1556411589.7152371,1556411589.807445,0.0922079086303711
t,1556411589.912321,1556411589.969543,0.05722188949584961
o,1556411589.939681,1556411590.031601,0.0919198989868164
Key.space,1556411590.039553,1556411590.127489,0.0879361629486084
r,1556411590.1395772,1556411590.256021,0.11644387245178223
e,1556411590.21572,1556411590.30242,0.0866999626159668
a,1556411590.354054,1556411590.517494,0.16343998908996582
d,1556411590.513323,1556411590.6494222,0.13609910011291504
Key.space,1556411590.7571342,1556411590.83344,0.07630586624145508
a,1556411590.852961,1556411590.9494789,0.09651780128479004
