key,press_time,release_time,hold_time
Key.shift,1556576616.3662221,1556576616.6180322,0.25181007385253906
B,1556576616.5260491,1556576616.634379,0.10832977294921875
a,1556576616.6751082,1556576616.8273711,0.15226292610168457
s,1556576616.92798,1556576617.0375402,0.10956025123596191
e,1556576617.151992,1556576617.240284,0.08829188346862793
b,1556576617.4819698,1556576617.586333,0.10436320304870605
a,1556576617.637849,1556576617.789396,0.15154695510864258
l,1556576617.9487,1556576618.065347,0.11664700508117676
l,1556576618.177294,1556576618.2894652,0.11217117309570312
Key.space,1556576618.642907,1556576618.763225,0.12031817436218262
h,1556576619.145306,1556576619.252964,0.10765790939331055
a,1556576619.2613041,1556576619.413574,0.15226984024047852
s,1556576619.5359738,1556576619.6484962,0.11252236366271973
Key.space,1556576620.153832,1556576620.278034,0.12420201301574707
b,1556576620.3767612,1556576620.468873,0.09211182594299316
e,1556576620.489971,1556576620.63455,0.14457917213439941
e,1556576620.726474,1556576620.8614998,0.1350257396697998
n,1556576620.8617191,1556576620.998446,0.13672685623168945
Key.space,1556576621.152124,1556576621.268151,0.1160271167755127
t,1556576621.698272,1556576621.774334,0.07606196403503418
h,1556576621.896889,1556576622.004878,0.10798907279968262
e,1556576622.017055,1556576622.144382,0.12732696533203125
Key.space,1556576622.1371,1556576622.257236,0.12013602256774902
n,1556576622.34196,1556576622.454412,0.11245203018188477
a,1556576622.480887,1556576622.6216269,0.14073991775512695
t,1556576622.709146,1556576622.804873,0.09572696685791016
i,1556576622.952864,1556576623.061234,0.10837006568908691
o,1556576623.150142,1556576623.230169,0.08002710342407227
n,1556576623.32737,1556576623.411108,0.08373808860778809
a,1556576623.460243,1556576623.612261,0.15201807022094727
l,1556576623.6124039,1556576623.7324648,0.12006092071533203
Key.space,1556576624.0348768,1556576624.163407,0.12853026390075684
p,1556576624.648677,1556576624.769254,0.12057685852050781
a,1556576624.8474581,1556576624.967176,0.11971783638000488
s,1556576625.087923,1556576625.18817,0.10024690628051758
t,1556576625.3106828,1556576625.391101,0.08041810989379883
i,1556576627.580611,1556576627.648952,0.06834101676940918
m,1556576627.8510091,1556576627.96692,0.11591076850891113
e,1556576628.066896,1556576628.199243,0.13234710693359375
Key.space,1556576628.5878599,1556576628.695648,0.1077880859375
i,1556576628.9853,1556576629.0940402,0.10874009132385254
n,1556576629.213442,1556576629.349483,0.13604092597961426
Key.space,1556576629.3133178,1556576629.458017,0.1446993350982666
t,1556576629.6115048,1556576629.679757,0.0682523250579834
h,1556576629.799501,1556576629.911805,0.1123039722442627
e,1556576629.942799,1556576630.066624,0.1238248348236084
Key.space,1556576630.006356,1556576630.154879,0.14852309226989746
u,1556576630.224843,1556576630.324797,0.09995388984680176
n,1556576630.4207418,1556576630.5727649,0.1520230770111084
i,1556576630.630719,1556576630.7630541,0.13233518600463867
t,1556576630.915596,1556576631.019812,0.10421609878540039
e,1556576631.1077702,1556576631.227714,0.11994385719299316
d,1556576631.342751,1556576631.4991271,0.15637612342834473
Key.space,1556576631.591538,1556576631.772096,0.1805579662322998
s,1556576631.971544,1556576632.1438751,0.1723310947418213
Key.backspace,1556576632.881024,1556576632.945358,0.06433415412902832
Key.shift,1556576633.4742012,1556576633.702121,0.2279198169708252
S,1556576633.650574,1556576633.814784,0.16421008110046387
t,1556576633.959739,1556576634.052031,0.09229207038879395
a,1556576634.063941,1556576634.21608,0.15213894844055176
t,1556576634.1764748,1556576634.272655,0.09618020057678223
e,1556576634.3564422,1556576634.456636,0.10019373893737793
s,1556576634.5794492,1556576634.7240288,0.14457964897155762
Key.space,1556576635.995805,1556576636.156606,0.16080093383789062
s,1556576636.427146,1556576636.575349,0.14820313453674316
i,1556576636.589366,1556576636.693524,0.10415792465209961
n,1556576636.8033102,1556576636.9248052,0.12149500846862793
c,1556576636.944386,1556576637.0685382,0.12415218353271484
e,1556576637.266012,1556576637.386322,0.12031006813049316
Key.space,1556576637.661843,1556576637.826556,0.16471290588378906
t,1556576638.2285912,1556576638.308993,0.08040189743041992
h,1556576638.44208,1556576638.545949,0.10386896133422852
e,1556576638.5457962,1556576638.681796,0.1359999179840088
Key.space,1556576638.645643,1556576638.782072,0.1364290714263916
m,1556576638.919994,1556576639.0239658,0.10397171974182129
i,1556576639.160956,1556576639.244427,0.08347105979919434
d,1556576639.796476,1556576639.91309,0.11661410331726074
d,1556576640.0151591,1556576640.137043,0.12188386917114258
l,1556576640.525381,1556576640.669705,0.14432382583618164
e,1556576640.653378,1556576640.82722,0.1738419532775879
Key.space,1556576640.911117,1556576641.031552,0.12043499946594238
o,1556576641.363349,1556576641.479734,0.11638498306274414
f,1556576641.579794,1556576641.731416,0.15162205696105957
Key.space,1556576641.73509,1556576641.855506,0.12041592597961426
t,1556576642.0595899,1556576642.167763,0.10817313194274902
h,1556576642.298502,1556576642.414581,0.11607909202575684
e,1556576642.4527428,1556576642.52124,0.0684971809387207
Key.space,1556576642.5249238,1556576642.681677,0.1567533016204834
1,1556576642.880407,1556576643.0489962,0.16858911514282227
8,1556576643.983913,1556576644.064204,0.0802910327911377
0,1556576644.816222,1556576644.924285,0.1080629825592041
0,1556576645.016934,1556576645.137596,0.12066197395324707
s,1556576645.665898,1556576645.77454,0.1086418628692627
.,1556576645.9823391,1556576646.0834692,0.10113000869750977
Key.space,1556576646.954058,1556576647.061961,0.10790300369262695
Key.shift,1556576647.102336,1556576647.4506931,0.3483572006225586
E,1556576647.34302,1556576647.475203,0.13218307495117188
a,1556576647.614845,1556576647.751076,0.1362309455871582
c,1556576647.938268,1556576648.058532,0.12026405334472656
h,1556576648.197669,1556576648.326388,0.12871885299682617
Key.space,1556576648.7100532,1556576648.825901,0.11584782600402832
